time,ax,ay,az,acc
0.0,14234,-920,16993,30307
0.00015001500150015003,17294,-834,17090,33550
0.00030003000300030005,17294,-834,17090,33550
0.0004500450045004501,19784,-878,17190,36096
0.0006000600060006001,19784,-878,17190,36096
0.0007500750075007501,21144,-836,17226,37534
0.0009000900090009002,22348,-850,17244,38742
0.00105010501050105,23398,-815,17259,39842
0.0012001200120012002,24618,-686,17286,41218
0.0013501350135013503,25780,-638,17311,42453
0.0015001500150015003,26464,-660,17307,43111
0.0016501650165016502,27107,-609,17290,43788
0.0018001800180018003,28098,-525,17335,44908
0.0019501950195019505,29008,-460,17426,45974
0.0021002100210021,29601,-410,17451,46642
0.0022502250225022503,30218,-346,17427,47299
0.0024002400240024004,30893,-254,17428,48067
0.0025502550255025506,31334,-152,17440,48622
0.0027002700270027007,31742,-36,17468,49174
0.0028502850285028504,32346,94,17512,49952
0.0030003000300030005,32764,213,17535,50512
0.0031503150315031507,32764,339,17522,50625
0.0033003300330033004,32764,589,17496,50849
0.0034503450345034505,32764,956,17487,51207
0.0036003600360036006,32764,1300,17481,51545
0.0037503750375037508,32764,1660,17465,51889
0.003900390039003901,32764,2046,17465,52275
0.004050405040504051,32764,2406,17463,52633
0.0042004200420042,32764,2406,17463,52633
0.004350435043504351,32764,3092,17466,53322
0.004500450045004501,32764,3092,17466,53322
0.004650465046504651,32520,3410,17432,53362
0.004800480048004801,31809,3460,17363,52632
0.0049504950495049506,31107,3512,17316,51935
0.005100510051005101,30224,3455,17270,50949
0.005250525052505251,29251,3346,17228,49825
0.005400540054005401,28407,3158,17232,48797
0.005550555055505551,28407,3158,17232,48797
0.005700570057005701,26090,2420,17139,45649
0.005850585058505851,26090,2420,17139,45649
0.006000600060006001,23856,1876,17087,42819
0.006150615061506151,23856,1876,17087,42819
0.006300630063006301,21230,1208,17035,39473
0.006450645064506451,21230,1208,17035,39473
0.006600660066006601,18424,638,16957,36019
0.006750675067506751,18424,638,16957,36019
0.006900690069006901,15689,292,16888,32869
0.007050705070507052,15689,292,16888,32869
0.007200720072007201,14088,102,16814,31004
0.007350735073507351,12609,-103,16761,29267
0.0075007500750075016,11170,-222,16733,27681
0.007650765076507651,9602,-318,16680,25964
0.007800780078007802,8086,-426,16622,24282
0.00795079507950795,6649,-508,16595,22736
0.008100810081008101,5094,-573,16576,21097
0.008250825082508252,3529,-611,16539,19457
0.0084008400840084,2074,-588,16493,17979
0.008550855085508551,594,-585,16432,16441
0.008700870087008702,-916,-637,16367,14814
0.008850885088508852,-2336,-640,16314,13338
0.009000900090009001,-3727,-628,16268,11913
0.009150915091509152,-5195,-652,16232,10385
0.009300930093009302,-6716,-662,16188,8810
0.009450945094509451,-8154,-656,16120,7310
0.009600960096009602,-9479,-669,16058,5910
0.009750975097509752,-10934,-704,16000,4362
0.009900990099009901,-12432,-677,15938,2829
0.010051005100510052,-13658,-593,15902,1651
0.010201020102010202,-14859,-570,15895,466
0.010351035103510351,-16342,-650,15835,-1157
0.010501050105010502,-17820,-731,15726,-2825
0.010651065106510652,-19038,-762,15668,-4132
0.010801080108010803,-20265,-770,15675,-5360
0.010951095109510952,-21534,-771,15685,-6620
0.011101110111011102,-22622,-828,15669,-7781
0.011251125112511253,-23832,-933,15616,-9149
0.011401140114011402,-25258,-998,15549,-10707
0.011551155115511552,-26312,-1041,15528,-11825
