freq,fft_ax,fft_ay,fft_az
0.0,354656.49021165515,273722.52421710803,29690229.232912153
2.0,155388.73604769574,118685.29130026215,12652023.705808584
4.0,6178.409936192821,1171.5865227716858,2119.0447448023992
6.0,5813.463260909004,1861.0418933454328,2064.0575939902324
8.0,8659.562222440813,3296.3200528203547,2181.3842378143822
10.0,8276.078744946079,3076.2693784737894,810.3717282497678
12.0,13157.967105679283,3213.2081986890885,575.4624782740938
14.0,7000.052993758158,6102.119287323254,2425.957732204877
16.0,30643.52797629723,2418.175834215624,1827.1850642267284
18.0,12978.964879400428,1721.8220188091534,2104.10533739026
20.0,26113.016052462604,3132.762371452783,4101.704191350468
22.0,15767.707845890038,2199.46982358114,2880.3063150592025
24.0,23273.300716665606,3657.340286453955,4323.341809064444
26.0,22791.13249014138,1815.9211629645022,1319.8959420072745
28.0,30142.987788374183,1678.2094946667064,412.66476536786865
30.0,32271.662666000197,1007.7787579534267,1621.3536433861548
32.0,35622.4348228407,1869.535891072374,2794.3185531524123
34.0,38945.35290362176,1206.708082544324,1737.295125073416
36.0,51322.9775318198,5975.0419770445405,924.9646035713854
38.0,47296.93963537481,4109.010025324889,4966.012694016519
40.0,66148.09384402834,3422.582233300176,611.8467227075555
42.0,52043.60189965678,2150.4556824737997,1477.7193115663647
44.0,35082.531130704556,2013.0524796745906,2292.0442746366693
46.0,305250.4986089737,12826.970011441004,10080.595463712667
48.0,15229095.260879455,556917.2659116796,456378.73662897083
50.0,29677286.635280088,1090738.2504507517,890127.6410801102
52.0,10372833.79308024,384991.5970326504,311613.9324936433
54.0,144274.0890339657,4071.7936658058766,5655.93500797785
56.0,64999.55229410509,4172.409045348812,1599.1898952319211
58.0,77167.168683874,2891.3685531718115,2841.8598369127235
60.0,78604.16930929007,4295.851289419807,1831.122002012154
62.0,66674.19923451029,2953.405308716171,1980.5672105109343
64.0,67009.06931027414,4298.973655721367,3522.1603174207567
66.0,56861.63090236458,3167.376018082165,2923.7062299109475
68.0,52499.05597252268,2623.1905742335753,2411.0999947278956
70.0,46937.40296214229,5349.067864618634,2938.7724138982708
72.0,52208.99053699205,2994.58256988549,962.28254739691
74.0,39021.31811286406,3816.7088025763082,862.8621431620943
76.0,39772.62506692288,3263.966566482438,3312.134401124639
78.0,37455.88157486979,6105.2804323941,1452.5911352947587
80.0,37176.68040606644,798.1777098062967,3671.2887504051864
82.0,35173.36209815836,2501.678754730098,514.36141012409
84.0,47986.05173069583,8116.921037306822,2874.6999780653605
86.0,99953.57131948222,7787.425392510569,5695.7348185234405
88.0,57975.900604358154,5149.22276417336,3501.59195137951
90.0,27525.753522066818,2836.949515196584,625.7828993845469
92.0,27711.443927231365,10579.119947893114,405.8985797093992
94.0,32035.784444849967,4458.964431812409,3897.7690460469444
96.0,32462.81601584287,26033.986754543086,1692.6321539235487
98.0,136189.09752838005,494130.6652014915,11938.30645517765
100.0,264310.2441664809,790847.6093980127,19076.615193805115
